TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,GPS_FIX,GPS_LAT,GPS_LONG,GPS_ALT,GPS_SPEED,GPS_HDOP,GPS_SATNUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,,Deg,Deg,m,m/s,,,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,GPS Fix Quality,GPS Latitude,GPS Longitude,GPS Altitude,GPS Speed,GPS Horizontal Dilution of Position,GPS Traked Satellites,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,128,125,126,127,129,131,130,89,87,88
2022-03-14T20:03:44Z,22.66,46.69,88,0,67.47,102.70,null,null,0,44.500998,11.348946,106.73,0.00,9999.00,0,14,24,24
2022-03-14T20:04:46Z,22.77,46.51,90,0,42.13,102.70,null,null,3,44.501197,11.349074,104.08,0.16,271.00,10,18,25,36
2022-03-14T20:05:46Z,22.97,46.33,91,0,59.67,102.70,null,null,3,44.501168,11.349180,103.49,0.42,272.00,10,14,18,40
2022-03-14T20:06:46Z,23.16,46.26,91,0,46.33,102.70,null,null,3,44.501187,11.349155,102.63,0.38,273.00,10,18,24,31
2022-03-14T20:07:46Z,23.35,45.98,92,0,59.17,102.69,null,null,3,44.501210,11.349251,121.12,0.44,293.00,9,25,28,28
2022-03-14T20:08:46Z,23.56,45.81,93,0,41.16,102.69,7.00,450.00,3,44.501174,11.349290,127.02,0.18,289.00,10,26,32,32
2022-03-14T20:09:46Z,23.74,45.61,94,0,49.61,102.69,41.00,675.00,3,44.501130,11.349218,109.58,0.63,277.00,10,20,31,42
2022-03-14T20:10:46Z,23.92,45.41,95,0,74.42,102.69,46.00,707.00,3,44.501139,11.349274,126.14,0.07,278.00,9,20,25,25
2022-03-14T20:11:46Z,24.08,45.23,97,0,42.39,102.69,42.00,681.00,3,44.501178,11.349267,124.10,0.13,354.00,9,24,35,35
2022-03-14T20:12:46Z,24.25,45.05,98,0,50.25,102.69,46.00,705.00,3,44.501146,11.349345,132.95,0.07,352.00,9,17,17,41
2022-03-14T20:13:46Z,24.42,44.80,100,0,44.84,102.69,39.00,659.00,3,44.501107,11.349322,129.00,0.93,389.00,9,16,20,32
2022-03-14T20:14:46Z,24.54,44.46,100,0,45.84,102.70,39.00,659.00,3,44.500998,11.349327,137.35,0.33,349.00,9,20,25,25
2022-03-14T20:15:46Z,24.70,44.25,100,0,40.40,102.70,37.00,649.00,3,44.501094,11.349233,125.32,0.36,373.00,9,22,29,29
2022-03-14T20:16:46Z,24.83,44.02,100,0,51.07,102.71,39.00,656.00,3,44.501050,11.349335,133.29,0.88,321.00,9,29,53,53
2022-03-14T20:17:46Z,24.95,43.75,100,0,44.81,102.71,31.00,605.00,3,44.501149,11.349216,116.25,0.10,320.00,9,21,36,36
2022-03-14T20:18:46Z,25.06,43.39,100,0,45.81,102.71,30.00,597.00,3,44.501056,11.349299,126.25,0.50,646.00,9,25,30,41
2022-03-14T20:19:46Z,25.15,43.22,100,0,58.28,102.70,31.00,605.00,3,44.501123,11.349243,125.22,0.06,305.00,9,28,32,44
2022-03-14T20:20:46Z,25.25,43.12,100,0,58.78,102.71,30.00,600.00,3,44.501098,11.349371,126.93,0.26,306.00,9,30,37,37
2022-03-14T20:21:46Z,25.32,42.85,100,0,46.63,102.70,22.00,550.00,3,44.501155,11.349222,103.24,0.40,306.00,8,31,34,34
2022-03-14T20:22:46Z,25.36,42.73,100,0,62.61,102.71,22.00,550.00,3,44.501174,11.349170,95.43,0.24,306.00,10,23,30,30
2022-03-14T20:23:46Z,25.43,42.66,100,0,46.49,102.71,22.00,547.00,3,44.501152,11.349215,104.78,0.12,360.00,8,23,32,32
2022-03-14T20:24:46Z,25.48,42.57,100,0,57.38,102.71,22.00,547.00,3,44.501171,11.349226,115.81,0.22,316.00,8,26,29,29
2022-03-14T20:25:46Z,25.49,42.53,100,0,45.00,102.71,20.00,535.00,3,44.501174,11.349203,107.66,0.12,230.00,10,25,38,60
2022-03-14T20:26:46Z,25.49,42.39,100,0,45.44,102.71,20.00,532.00,3,44.501178,11.349142,114.28,1.11,229.00,11,29,43,43
2022-03-14T20:27:46Z,25.52,42.41,100,0,45.74,102.71,19.00,529.00,3,44.501242,11.349174,100.54,0.73,254.00,10,25,26,26
2022-03-14T20:28:46Z,25.53,42.30,100,0,46.67,102.71,19.00,529.00,3,44.501197,11.349242,112.47,0.62,255.00,10,26,35,35
2022-03-14T20:29:46Z,25.53,42.52,100,0,42.25,102.71,17.00,517.00,3,44.501117,11.349415,130.81,1.29,630.00,10,18,24,24
